week_start,dma_code,promo_flag,holiday_flag,launch_flag,competitor_event_flag
2024-01-01,501,1,1,0,0
2024-01-01,803,0,1,0,0
2024-01-01,602,0,1,0,0
2024-01-01,504,0,1,0,0
2024-01-01,511,1,1,0,0
2024-01-01,505,0,1,0,0
2024-01-01,506,0,1,0,0
2024-01-01,623,0,1,0,0
2024-01-08,501,0,0,0,0
2024-01-08,803,0,0,0,0
2024-01-08,602,0,0,0,0
2024-01-08,504,1,0,0,0
2024-01-08,511,0,0,0,0
2024-01-08,505,0,0,0,0
2024-01-08,506,0,0,0,0
2024-01-08,623,1,0,0,0
2024-01-15,501,0,0,0,0
2024-01-15,803,0,0,0,0
2024-01-15,602,1,0,0,0
2024-01-15,504,0,0,0,0
2024-01-15,511,0,0,0,0
2024-01-15,505,0,0,0,0
2024-01-15,506,1,0,0,0
2024-01-15,623,0,0,0,0
2024-01-22,501,0,0,0,1
2024-01-22,803,1,0,0,0
2024-01-22,602,0,0,0,1
2024-01-22,504,0,0,0,0
2024-01-22,511,0,0,0,1
2024-01-22,505,1,0,0,0
2024-01-22,506,0,0,0,1
2024-01-22,623,0,0,0,0
2024-01-29,501,1,0,0,0
2024-01-29,803,0,0,0,0
2024-01-29,602,0,0,0,0
2024-01-29,504,0,0,0,0
2024-01-29,511,1,0,0,0
2024-01-29,505,0,0,0,0
2024-01-29,506,0,0,0,0
2024-01-29,623,0,0,0,0
2024-02-05,501,0,1,0,0
2024-02-05,803,0,1,0,0
2024-02-05,602,0,1,0,0
2024-02-05,504,1,1,0,0
2024-02-05,511,0,1,0,0
2024-02-05,505,0,1,0,0
2024-02-05,506,0,1,0,0
2024-02-05,623,1,1,0,0
2024-02-12,501,0,0,0,0
2024-02-12,803,0,0,0,0
2024-02-12,602,1,0,0,0
2024-02-12,504,0,0,0,0
2024-02-12,511,0,0,0,0
2024-02-12,505,0,0,0,0
2024-02-12,506,1,0,0,0
2024-02-12,623,0,0,0,0
2024-02-19,501,0,0,1,0
2024-02-19,803,1,0,1,0
2024-02-19,602,0,0,1,0
2024-02-19,504,0,0,1,0
2024-02-19,511,0,0,1,0
2024-02-19,505,1,0,1,0
2024-02-19,506,0,0,1,0
2024-02-19,623,0,0,1,0
2024-02-26,501,1,0,0,0
2024-02-26,803,0,0,0,0
2024-02-26,602,0,0,0,0
2024-02-26,504,0,0,0,0
2024-02-26,511,1,0,0,0
2024-02-26,505,0,0,0,0
2024-02-26,506,0,0,0,0
2024-02-26,623,0,0,0,0
2024-03-04,501,0,0,0,1
2024-03-04,803,0,0,0,0
2024-03-04,602,0,0,0,1
2024-03-04,504,1,0,0,0
2024-03-04,511,0,0,0,1
2024-03-04,505,0,0,0,0
2024-03-04,506,0,0,0,1
2024-03-04,623,1,0,0,0
2024-03-11,501,0,0,0,0
2024-03-11,803,0,0,0,0
2024-03-11,602,1,0,0,0
2024-03-11,504,0,0,0,0
2024-03-11,511,0,0,0,0
2024-03-11,505,0,0,0,0
2024-03-11,506,1,0,0,0
2024-03-11,623,0,0,0,0
2024-03-18,501,0,0,0,0
2024-03-18,803,1,0,0,0
2024-03-18,602,0,0,0,0
2024-03-18,504,0,0,0,0
2024-03-18,511,0,0,0,0
2024-03-18,505,1,0,0,0
2024-03-18,506,0,0,0,0
2024-03-18,623,0,0,0,0
2024-03-25,501,1,1,0,0
2024-03-25,803,0,1,0,0
2024-03-25,602,0,1,0,0
2024-03-25,504,0,1,0,0
2024-03-25,511,1,1,0,0
2024-03-25,505,0,1,0,0
2024-03-25,506,0,1,0,0
2024-03-25,623,0,1,0,0
2024-04-01,501,0,0,0,0
2024-04-01,803,0,0,0,0
2024-04-01,602,0,0,0,0
2024-04-01,504,1,0,0,0
2024-04-01,511,0,0,0,0
2024-04-01,505,0,0,0,0
2024-04-01,506,0,0,0,0
2024-04-01,623,1,0,0,0
